LANGUE;MODULE;FONCT;NUMERO;GRAVITES;GRAVITEP;LIBS;LIBP
"F";"HR";"ANO";"0400";" ";" ";" ";" "
"F";"HR";"ANO";"0401";" ";" ";" ";" "
"F";"HR";"ANO";"0402";" ";" ";" ";" "
"F";"HR";"ANO";"0403";" ";" ";" ";" "
"F";"HR";"ANO";"0404";" ";" ";" ";" "
"F";"HR";"ANO";"0405";" ";" ";" ";" "
"F";"HR";"ANO";"0406";" ";" ";" ";" "
"F";"HR";"ANO";"0407";" ";" ";" ";" "
"F";"HR";"ANO";"0408";" ";" ";" ";" "
"F";"HR";"ANO";"0409";" ";" ";" ";" "
"F";"HR";"ANO";"0410";" ";" ";" ";" "
"F";"HR";"ANO";"0411";" ";" ";" ";" "
"F";"HR";"ANO";"0412";" ";" ";" ";" "
"F";"HR";"ANO";"0413";" ";" ";" ";" "
"F";"HR";"ANO";"0414";" ";" ";" ";" "
"F";"HR";"ANO";"0415";" ";" ";" ";" "
"F";"HR";"ANO";"0416";" ";" ";" ";" "
"F";"HR";"ANO";"0417";" ";" ";" ";" "
"F";"HR";"ANO";"0418";" ";" ";" ";" "
"F";"HR";"ANO";"0419";" ";" ";" ";" "
"F";"HR";"ANO";"0420";" ";" ";" ";" "
"F";"HR";"ANO";"0421";" ";" ";" ";" "
"F";"HR";"ANO";"0422";" ";" ";" ";" "
"F";"HR";"ANO";"0423";" ";" ";" ";" "
"F";"HR";"ANO";"0424";" ";" ";" ";" "
"F";"HR";"ANO";"0425";" ";" ";" ";" "
"F";"HR";"ANO";"0426";" ";" ";" ";" "
"F";"HR";"ANO";"0427";" ";" ";" ";" "
"F";"HR";"ANO";"0428";" ";" ";" ";" "
"F";"HR";"ANO";"0429";" ";" ";" ";" "
"F";"HR";"ANO";"0430";" ";" ";" ";" "
"F";"HR";"ANO";"0431";" ";" ";" ";" "
"F";"HR";"ANO";"0432";" ";" ";" ";" "
"F";"HR";"ANO";"0433";" ";" ";" ";" "
"F";"HR";"ANO";"0434";" ";" ";" ";" "
"F";"HR";"ANO";"0435";" ";" ";" ";" "
"F";"HR";"ANO";"0436";" ";" ";" ";" "
"F";"HR";"ANO";"0437";" ";" ";" ";" "
"F";"HR";"ANO";"0438";" ";" ";" ";" "
"F";"HR";"ANO";"0439";" ";" ";" ";" "
"F";"HR";"ANO";"0440";" ";" ";" ";" "
"F";"HR";"ANO";"0441";" ";" ";" ";" "
"F";"HR";"ANO";"0442";" ";" ";" ";" "
"F";"HR";"ANO";"0443";" ";" ";" ";" "
"F";"HR";"ANO";"0444";" ";" ";" ";" "
"F";"HR";"ANO";"0445";" ";" ";" ";" "
"F";"HR";"ANO";"0446";" ";" ";" ";" "
"F";"HR";"ANO";"0447";" ";" ";" ";" "
"F";"HR";"ANO";"0448";" ";" ";" ";" "
"F";"HR";"ANO";"0449";" ";" ";" ";" "
"F";"HR";"ANO";"0450";" ";" ";" ";" "
"F";"HR";"ANO";"0451";" ";" ";" ";" "
"F";"HR";"ANO";"0452";" ";" ";" ";" "
"F";"HR";"ANO";"0453";" ";" ";" ";" "
"F";"HR";"ANO";"0454";" ";" ";" ";" "
"F";"HR";"ANO";"0455";" ";" ";" ";" "
